acct_num,loan_type,cust_type,age,tot_income,tern,balance,net_due,security_code,bal_after_ref,net_due_renewed,fico,bni,cr_limit,agg_net_bal,date_opened,pmt,dti,is_bad
1845,1,2,40,"$1,967.03",21,"$2,589.53","$1,620.43",10,$564.01,"$2,184.44",623,247,"$2,000.00","$2,229.44",11/22/2017,$163.00,83.07,0
1846,1,2,66,$735.00,18,"$1,704.13",$581.95,10,$958.78,"$1,540.73",592,233,$500.00,"$1,585.73",11/22/2017,$115.00,34.69,0
1847,1,2,64,"$1,227.00",15,"$1,385.00",$568.29,10,$564.39,"$1,132.68",589,272,"$1,000.00","$1,285.68",11/22/2017,$110.00,53.06,0
1848,1,2,71,"$1,400.00",15,"$1,385.00",$824.61,10,$429.72,"$1,254.33",588,324,"$1,000.00","$1,299.33",11/22/2017,$110.00,5,0
1849,1,1,62,"$1,044.48",9,$582.47,$520.87,10,$0.00,$520.87,0,326,$500.00,$565.87,11/22/2017,$75.00,0,0
1851,1,3,41,"$1,100.00",15,"$1,118.33","$1,009.02",10,$0.00,"$1,009.02",544,122,$500.00,"$1,054.02",11/22/2017,$90.00,40.18,0
1852,1,2,50,$755.00,15,"$1,385.00",$733.45,10,$507.17,"$1,240.62",529,183,$500.00,"$1,285.62",11/22/2017,$110.00,65.3,0
1853,1,2,71,"$1,308.00",15,"$1,385.00",$503.61,10,$750.72,"$1,254.33",611,194,"$1,000.00","$1,299.33",11/22/2017,$110.00,57.91,0
1854,1,2,72,$879.00,12,"$1,024.09",$531.90,10,$394.66,$926.56,588,304,$500.00,$971.56,11/24/2017,$100.00,50.51,0
1855,1,2,43,"$1,616.33",21,"$2,217.29",$521.95,10,"$1,328.90","$1,850.85",567,297,$425.00,"$1,895.85",11/24/2017,$140.00,26.91,0
1856,70,1,22,"$3,360.00",24,"$2,526.47","$2,526.47",10,$0.00,"$2,526.47",643,260,"$2,000.00","$2,526.47",11/24/2017,$133.57,21.31,1
1857,15,1,52,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,11/24/2017,$94.30,0,0
1858,15,1,60,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,11/24/2017,$94.30,0,0
